iter	Passed	Remaining
229	318	1065
230	318	1061
231	319	1057
232	320	1053
233	321	1051
234	321	1047
235	322	1043
236	323	1040
237	323	1036
238	324	1032
239	324	1028
240	325	1024
241	326	1022
242	327	1020
243	328	1016
244	328	1013
245	329	1010
246	330	1006
247	330	1002
248	331	999
249	331	995
250	333	994
251	334	991
252	334	988
253	335	984
254	336	981
255	336	978
256	337	975
257	337	971
258	339	970
259	340	967
260	340	964
261	341	961
262	342	958
263	342	955
264	343	952
265	343	948
266	344	945
267	345	944
268	346	941
269	347	938
270	347	936
271	348	932
272	349	929
273	349	926
274	350	923
275	351	922
276	352	920
277	353	917
278	353	914
279	354	911
280	355	908
281	355	906
282	356	903
283	358	903
284	358	900
285	359	897
286	360	895
287	361	893
288	362	891
289	362	888
290	364	888
291	365	885
292	365	882
293	366	879
294	366	877
295	367	874
296	368	871
297	368	868
298	369	866
299	370	865
300	371	862
301	372	860
302	372	857
303	373	854
304	373	851
305	374	849
306	375	846
307	376	844
308	377	843
309	377	840
310	378	838
311	379	835
312	379	833
313	380	830
314	380	828
315	381	825
316	382	824
317	383	822
318	384	820
319	384	817
320	385	815
321	386	812
322	386	810
323	387	808
324	387	805
325	388	804
326	389	802
327	390	799
328	391	797
329	391	795
330	392	792
331	392	790
332	393	788
333	394	785
334	395	785
335	396	783
336	397	781
337	397	779
338	398	776
339	398	774
340	399	772
341	400	769
342	401	768
343	402	766
344	402	764
345	403	762
346	404	760
347	404	758
348	405	756
349	406	754
350	407	752
351	408	751
352	408	749
353	409	747
354	410	745
355	410	742
356	411	740
357	411	738
358	412	736
359	413	735
360	414	733
361	415	731
362	415	729
363	416	727
364	417	725
365	417	723
366	418	721
367	418	719
368	419	718
369	420	716
370	421	714
371	421	712
372	422	709
373	422	707
374	423	705
375	424	703
376	424	701
377	425	699
378	426	699
379	427	697
380	427	695
381	428	693
382	429	691
383	429	689
384	430	687
385	430	685
386	431	683
387	432	681
388	433	680
389	433	678
390	434	676
391	434	674
392	435	672
393	436	670
394	436	668
395	437	666
396	437	665
397	438	663
398	439	661
399	440	660
400	440	658
401	441	656
402	441	654
403	442	652
404	442	650
405	443	648
406	443	646
407	444	645
408	445	643
409	446	642
410	446	640
411	447	638
412	447	636
413	448	634
414	449	633
415	449	631
416	450	629
417	451	628
418	452	626
419	452	624
420	453	623
421	453	621
422	454	619
423	454	617
424	455	616
425	456	614
426	456	612
427	457	611
428	458	609
429	458	608
430	459	606
431	460	604
432	460	603
433	461	601
434	461	599
435	462	598
436	463	596
437	464	595
438	464	593
439	465	592
440	465	590
441	466	588
442	467	587
443	467	585
444	468	583
445	468	582
446	469	581
447	470	579
448	471	578
449	471	576
450	472	574
451	472	573
452	473	571
453	474	570
454	474	568
455	475	566
456	476	566
457	477	565
458	478	563
459	478	562
460	479	560
461	480	559
462	481	558
463	482	557
464	484	556
465	485	555
466	486	554
467	486	553
468	487	551
469	488	551
470	489	549
471	490	548
472	491	547
473	492	546
474	493	545
475	494	543
476	495	543
477	496	542
478	497	541
479	498	540
480	499	538
481	500	538
482	501	537
483	502	535
484	503	534
485	504	533
486	505	532
487	507	532
488	508	531
489	509	530
